ID,NAME,BIRTH,CELLPHONE,EMAIL,CODE,ALIAS,PASSWORD,AGE
1,Laura,2000-11-25,6667131697,laura.alboni@yahoo.it,DifyHwO6,RedOtter,vEPBnVs6r6,24
2,Alberto,2001-02-04,5603405471,alberto.roncalli@gmail.com,liVqGrBd,FirePanther,3Qjow3aOKc,24
3,Francesca,2002-06-20,1543563160,francesca.cicala@yahoo.it,KR9cTaLN,CrystalRabbit,3lZAFJnIE4,23
4,Claudia,2001-09-06,1192627701,claudia.lombardo@yahoo.it,WIaZatzX,FireCoyote,aUiWqR8yZr,23
5,Giada,1999-12-24,7414507748,giada.duodo@hotmail.com,23v8HAu5,StormRabbit,syztKhJPKt,25
6,Francesca,2003-02-11,7986720374,francesca.bergoglio@libero.it,CaoZuMtC,SilverTiger,AAJEGmf1RL,22
7,Carlo,2005-09-08,3018714442,carlo.morellato@hotmail.com,9GNKCQdo,FirePanther,AvgwZaSlYV,19
8,Matteo,2004-03-25,6412118134,matteo.magnani@yahoo.it,yx6RyXJZ,NightRabbit,mHbXmSicdY,21
9,Gabriele,1995-01-08,0322033232,gabriele.roero@yahoo.it,2n7W90ZL,GoldenCoyote,GVfZ7yHerN,30
10,Franco,2000-01-18,3983900940,franco.salgari@libero.it,NmAe2KKl,FirePanther,RWaFYD1dVJ,25
11,Martina,1998-03-15,8836899091,martina.vergassola@gmail.com,PeunKudd,NightFalcon,jSl81CSX78,27
12,Carlo,2003-03-12,2979305177,carlo.borromini@outlook.com,qZw5R11P,IcePanther,BSweeIR76H,22
13,Francesca,2001-06-23,1379203243,francesca.gabbana@yahoo.it,ghhVJJbn,BlackFalcon,waKLOVDzTL,24
14,Sara,2006-08-28,7810225454,sara.bonanno@yahoo.it,mXKPCOx4,CrystalMoose,paiMXu1FyJ,18
15,Matilde,2001-03-26,2424939345,matilde.argurio@yahoo.it,8mNVI9nP,SunLynx,EumXRHgAdN,24
16,Claudia,2005-10-03,7684239560,claudia.rossi@libero.it,z2dFX1wK,CrystalRabbit,FRKLCE1Nf6,19
17,Filippo,1995-04-11,3620743531,filippo.trapani@libero.it,Dsywtv1P,IceBear,ITGTHiXoub,30
18,Roberto,1995-03-23,5034834940,roberto.guarato@hotmail.com,3aB6rEed,ShadowOtter,yACTSLpLeC,30
19,Andrea,2006-03-27,6440412427,andrea.chiaramonte@libero.it,QQtTO4PG,CrystalMoose,FoDJAQlKLq,19
20,Roberto,1994-10-06,7575824644,roberto.pincherle@gmail.com,tMOVthvg,NightMoose,yI4FyvR2y2,30
21,Martina,1994-10-31,4328222586,martina.zamengo@outlook.com,j1rUGYK1,DuskLynx,Asd1cZ1TiV,30
22,Enrico,1996-04-08,7124275308,enrico.lucciano@icloud.com,K96KILSD,WhiteEagle,LhUjBBdJRi,29
23,Giulia,1998-03-03,4433089704,giulia.brancaccio@outlook.com,YcJxKH6I,BlueRabbit,WnRxHcYMQQ,27
24,Martina,1995-07-20,0240345029,martina.calgari@yahoo.it,0hQ2gycf,NightMoose,5VxveMkEBO,29
25,Carlo,2003-06-27,2211633489,carlo.majorana@icloud.com,128ADGob,DuskLynx,Rq4QWf51S0,22
26,Francesca,2001-10-22,1537734622,francesca.giannetti@hotmail.com,Pq52IcNs,RedRabbit,DZ8z2OgN4J,23
27,Luca,1995-09-25,6984121081,luca.donà@yahoo.it,Hk3H1g2u,SunPanther,O2ZN8zzoJP,29
28,Gabriele,1999-02-28,8546571987,gabriele.ferraris@hotmail.com,3STnSNxI,SilverTiger,tQn4TKolaQ,26
29,Francesca,1998-11-04,6455679717,francesca.conti@hotmail.com,JDHkhPeo,CrystalBear,n7AKq4inlz,26
30,Enrico,2002-06-18,5586924321,enrico.santoro@gmail.com,4HM8OWpE,CrystalBear,EvuWYBeMEu,23
31,Luca,2002-05-05,7323250365,luca.coardi@gmail.com,XlJ51Wjo,CrystalMoose,wWGc63xX4X,23
32,Valentina,2005-10-07,0819786451,valentina.giannotti@gmail.com,jdLzDmCc,ShadowBear,UuvFdZ97g7,19
33,Marco,2004-05-14,2024593947,marco.tolentino@outlook.com,z0C1GDCL,NightFalcon,jZaf6zmOU8,21
34,Simona,1999-10-21,6384966250,simona.longhena@outlook.com,BsWmQGt8,SunCoyote,TmZTWYHFl1,25
35,Silvia,1997-09-16,7028599996,silvia.grifeo@outlook.com,ROfbPUPS,GreenMoose,tmT7MK8c2u,27
36,Alberto,2007-01-09,1995407500,alberto.petrucelli@hotmail.com,DBxKbBSK,ShadowOtter,d4mfbQHtgQ,18
37,Franco,2005-12-26,7139138853,franco.fracci@outlook.com,vQCjyPgF,ShadowOtter,mgerhmyBzj,19
38,Luigi,1997-05-26,9346966614,luigi.traversa@gmail.com,5r2NNLnY,BlueWolf,bne9AwfV92,28
39,Sara,2004-09-22,4925258904,sara.pistoletto@hotmail.com,Mo8ONmbE,BlueBear,3OPcgQxCGf,20
40,Giulia,1999-05-15,9273587607,giulia.ariosto@hotmail.com,zlWftkeA,WhitePanther,xIoZV5ZW00,26
41,Matilde,2005-04-30,9411574305,matilde.schiavo@libero.it,t9PL13tY,SunLynx,qHdOOEL747,20
42,Enrico,2003-12-28,5751963623,enrico.barbarigo@hotmail.com,WDu3F1Uh,IceBear,yefaM6Fcx2,21
43,Filippo,2007-06-06,6016933253,filippo.antonini@yahoo.it,tlp8a9tA,CrystalBear,2E7oboXdZu,18
44,Simona,2006-03-10,0113515385,simona.bianchi@libero.it,2XSo73YW,BlackBear,dCC0IKiFme,19
45,Claudia,1998-08-13,1388571875,claudia.panzera@gmail.com,10So6yK6,BlackFalcon,VM8EXunt5J,26
46,Stefano,1995-05-25,5071713540,stefano.scarpetta@outlook.com,S4GZZcGB,ShadowOtter,ygBi3gN0xa,30
47,Paolo,1996-02-02,8242708348,paolo.ponti@yahoo.it,UWThUo2E,NightRabbit,L6ZW1dA4I5,29
48,Monica,2003-05-13,3974257516,monica.brancaccio@icloud.com,PkIsUZ6C,FireCoyote,G7gG8vt3mr,22
49,Laura,2004-03-11,0311149648,laura.barcaccia@yahoo.it,ah2n0FdH,GoldenCoyote,GJ5L4cr09u,21
50,Alberto,2001-04-08,7717774960,alberto.chittolini@hotmail.com,wgMu212x,ShadowOtter,PQmpbiL3vX,24
51,Luca,2004-11-26,8706575245,luca.brichese@icloud.com,KqIEhSfH,RedOtter,fSTV9PLo2r,20
52,Paolo,2000-09-01,7596419068,paolo.malpighi@icloud.com,UIdHNUlA,FirePenguin,UFaSPiV8hk,24
53,Daniele,2005-12-10,6339277951,daniele.persico@icloud.com,yoSEvqnK,WhitePanther,LGvLFsG0m1,19
54,Matteo,2002-01-03,9711734583,matteo.raimondi@gmail.com,UHDwc6fu,SunPanther,UjKFHaaPO6,23
55,Luca,2007-05-26,9313652052,luca.baracca@yahoo.it,6Hjcu2u3,NightRabbit,v4Wp2OsR3J,18
56,Stefano,1994-07-24,5365674110,stefano.stoppani@gmail.com,1N6G3jD8,NightMoose,DwR2BVGrhv,30
57,Paolo,1999-04-26,7484676146,paolo.sismondi@libero.it,cZQzHFgz,FirePanther,pb0Qo5vn0B,26
58,Giulia,2005-03-01,8040595489,giulia.morabito@gmail.com,8ORU55w5,RedRabbit,3q0nEXMcNZ,20
59,Monica,2002-10-15,2257371178,monica.ariosto@libero.it,W8CS7Bsx,BlueWolf,ZvCIN5vyVh,22
60,Martina,2005-01-30,9732336431,martina.fornaciari@yahoo.it,MTI2voMb,CrystalBear,I6lwJSsPve,20
61,Alessandro,2000-03-06,1279451556,alessandro.gaiatto@gmail.com,yXLBq3ie,SilverTiger,Sxj38GKopW,25
62,Martina,2000-08-02,0113269600,martina.alfieri@yahoo.it,y3Gu10Ci,IceBear,krdiMeMIc9,24
63,Alessia,1996-01-10,0839438318,alessia.armellini@outlook.com,gJrzoRgr,FirePanther,AwmuIVOPEH,29
64,Veronica,2001-12-04,5686079570,veronica.medici@gmail.com,h5P2wUy7,GoldenLynx,EEd34Gt1LQ,23
65,Luca,2006-06-13,4997926753,luca.vittadello@hotmail.com,yrd4DC6v,CrystalMoose,RJ8UKOQd0L,19
66,Gabriele,1999-04-22,9881036771,gabriele.carocci@gmail.com,UwLmUyaA,FirePenguin,zF1u8jJdcw,26
67,Giulia,2000-07-27,7132602510,giulia.travaglia@yahoo.it,9i8A3avV,StormRabbit,kMb9m6FizZ,24
68,Stefano,2006-02-28,0171629103,stefano.soffici@outlook.com,oFIAJIzO,GreenMoose,xuckC12qB9,19
69,Marco,1997-10-13,5780358531,marco.romiti@libero.it,0jUGyTi0,CrystalBear,fwzrbPkZd7,27
70,Marco,1997-09-19,4273883155,marco.duodo@outlook.com,yYTWODn9,NightMoose,uQPKSwMSMG,27
71,Alessia,2000-10-13,4339727699,alessia.sagredo@icloud.com,hfJcf9S2,GoldenCoyote,ezKo7SZ5G5,24
72,Laura,2001-12-12,7121213380,laura.riccati@libero.it,ybAOuzfW,CrystalBear,QO0pl4Y0A5,23
73,Matteo,2002-03-26,0818884528,matteo.bernetti@libero.it,0G4XM3pl,SilverTiger,m4M4rZsf4G,23
74,Valentina,2003-07-21,7704365452,valentina.naccari@gmail.com,Jw5yOkSw,SunPanther,c1uCfs4pbd,21
75,Veronica,1996-12-09,1468757581,veronica.satta@yahoo.it,ScYihsBq,SunPanther,BAOZ2iUdjM,28
76,Enrico,1997-09-04,0061069347,enrico.giunti@outlook.com,9uEfk8qm,StormMoose,QBgToUUWyF,27
77,Enrico,2000-04-04,2901213355,enrico.soranzo@icloud.com,YYozLGR5,CrystalRabbit,qAMi812TPv,25
78,Massimo,2003-10-05,7559795555,massimo.ginesio@outlook.com,FnEdLJnH,NightFalcon,Lx2UdbaqG5,21
79,Franco,2007-06-02,4935331156,franco.boccaccio@outlook.com,hQYbsavN,NightFalcon,oPPasZZgzc,18
80,Veronica,2006-03-30,6307788893,veronica.santoro@hotmail.com,xJye95oK,NightFalcon,VoD12tDiUt,19
81,Matilde,2005-06-12,7249192698,matilde.malipiero@outlook.com,RPIK2iq7,GreenTiger,j1Iaz5u0hZ,20
82,Serena,2004-03-19,8216582541,serena.chittolini@yahoo.it,nzhsuhbl,NightFalcon,0GVTOHxHWe,21
83,Tommaso,1995-01-25,2864306095,tommaso.petralli@outlook.com,BJBbZuO1,StormRabbit,r6UljbrFit,30
84,Beatrice,2005-05-30,1426903553,beatrice.ligorio@hotmail.com,sEghHlCZ,GoldenLynx,znLZ7DpKOb,20
85,Francesca,1995-09-01,2986613380,francesca.barese@libero.it,o5gVYEvS,FirePenguin,2rjNyRPNqw,29
86,Giulia,2000-05-21,4577430939,giulia.cusano@yahoo.it,F6R4o0cU,IceFalcon,aKJgN62Bdy,25
87,Simona,1999-06-14,7886057138,simona.carpaccio@libero.it,Hg3oGiky,SunPanther,xbmfbFGy3N,26
88,Silvia,2002-02-05,9387885845,silvia.dellucci@hotmail.com,syVPef3F,SilverLynx,XbpSW8mAvx,23
